,layer,pos,yes_prob,no_prob
58,5,3,0.003701417939737439,0.0037359772250056267
59,5,4,0.003701417939737439,0.0037359772250056267
60,5,5,0.003701417939737439,0.0037359772250056267
61,5,6,0.0037412287201732397,0.0036222278140485287
62,5,7,0.0029525640420615673,0.002455545123666525
63,5,8,0.0038907029666006565,0.0035765529610216618
64,5,9,0.003605331527069211,0.0037278137169778347
65,5,10,0.0035270703956484795,0.0035362415947020054
66,6,0,0.003701417939737439,0.0037359772250056267
67,6,1,0.003701417939737439,0.0037359772250056267
68,6,2,0.003701417939737439,0.0037359772250056267
69,6,3,0.003701417939737439,0.0037359772250056267
70,6,4,0.003701417939737439,0.0037359772250056267
71,6,5,0.003701417939737439,0.0037359772250056267
72,6,6,0.003591829678043723,0.0034868333023041487
73,6,7,0.0027481496799737215,0.0021615922451019287
74,6,8,0.003969286102801561,0.003614843590185046
75,6,9,0.0036195425782352686,0.0036993399262428284
76,6,10,0.003623743075877428,0.003586053615435958
77,7,0,0.003701417939737439,0.0037359772250056267
78,7,1,0.003701417939737439,0.0037359772250056267
79,7,2,0.003701417939737439,0.0037359772250056267
80,7,3,0.003701417939737439,0.0037359772250056267
81,7,4,0.003701417939737439,0.0037359772250056267
82,7,5,0.003701417939737439,0.0037359772250056267
83,7,6,0.003453480079770088,0.0032846471294760704
84,7,7,0.0021846569143235683,0.0016811903333291411
85,7,8,0.00404469296336174,0.0036184389609843493
86,7,9,0.003573009977117181,0.0036204648204147816
87,7,10,0.0036597319412976503,0.003562453668564558
88,8,0,0.003701417939737439,0.0037359772250056267
89,8,1,0.003701417939737439,0.0037359772250056267
90,8,2,0.003701417939737439,0.0037359772250056267
91,8,3,0.003701417939737439,0.0037359772250056267
92,8,4,0.003701417939737439,0.0037359772250056267
93,8,5,0.003701417939737439,0.0037359772250056267
94,8,6,0.0038145892322063446,0.003621747950091958
95,8,7,0.0020593975204974413,0.0018403184367343783
96,8,8,0.0038762111216783524,0.0033683786168694496
97,8,9,0.003541510784998536,0.003557138843461871
98,8,10,0.0037899366579949856,0.0037437397986650467
99,9,0,0.003701417939737439,0.0037359772250056267
100,9,1,0.003701417939737439,0.0037359772250056267
101,9,2,0.003701417939737439,0.0037359772250056267
102,9,3,0.003701417939737439,0.0037359772250056267
103,9,4,0.003701417939737439,0.0037359772250056267
104,9,5,0.003701417939737439,0.0037359772250056267
105,9,6,0.003818442113697529,0.0033135393168777227
106,9,7,0.002367656445130706,0.002275730948895216
107,9,8,0.0037642796523869038,0.0031871830578893423
108,9,9,0.0037375122774392366,0.003696742234751582
109,9,10,0.0037555380258709192,0.0036913033109158278
110,10,0,0.003701417939737439,0.0037359772250056267
111,10,1,0.003701417939737439,0.0037359772250056267
112,10,2,0.003701417939737439,0.0037359772250056267
113,10,3,0.003701417939737439,0.0037359772250056267
114,10,4,0.003701417939737439,0.0037359772250056267
115,10,5,0.003701417939737439,0.0037359772250056267
116,10,6,0.003809005720540881,0.0034129221457988024
117,10,7,0.0026850372087210417,0.002529185265302658
118,10,8,0.0034803522285073996,0.0029949438758194447
119,10,9,0.0038069661241024733,0.0037781796418130398
120,10,10,0.0038226640317589045,0.0037394706159830093
121,11,0,0.003701417939737439,0.0037359772250056267
122,11,1,0.003701417939737439,0.0037359772250056267
123,11,2,0.003701417939737439,0.0037359772250056267
124,11,3,0.003701417939737439,0.0037359772250056267
125,11,4,0.003701417939737439,0.0037359772250056267
126,11,5,0.003701417939737439,0.0037359772250056267
127,11,6,0.0037805228494107723,0.003435518592596054
128,11,7,0.002536023035645485,0.00240954477339983
129,11,8,0.003330298699438572,0.0028488661628216505
130,11,9,0.0037455589044839144,0.0037227796856313944
131,11,10,0.0036635787691920996,0.00357975997030735
132,12,0,0.003701417939737439,0.0037359772250056267
133,12,1,0.003701417939737439,0.0037359772250056267
134,12,2,0.003701417939737439,0.0037359772250056267
135,12,3,0.003701417939737439,0.0037359772250056267
136,12,4,0.003701417939737439,0.0037359772250056267
137,12,5,0.003701417939737439,0.0037359772250056267
138,12,6,0.003751736134290695,0.0033851165790110826
139,12,7,0.0024354623164981604,0.002430096035823226
140,12,8,0.0032596122473478317,0.0027427386958152056
141,12,9,0.003688268829137087,0.00363757717423141
142,12,10,0.003487483598291874,0.003308803541585803
143,13,0,0.003701417939737439,0.0037359772250056267
144,13,1,0.003701417939737439,0.0037359772250056267
145,13,2,0.003701417939737439,0.0037359772250056267
146,13,3,0.003701417939737439,0.0037359772250056267
147,13,4,0.003701417939737439,0.0037359772250056267
148,13,5,0.003701417939737439,0.0037359772250056267
149,13,6,0.0035171310883015394,0.003357857698574662
150,13,7,0.00267947930842638,0.002588470233604312
