,layer,pos,yes_prob,no_prob
58,5,3,0.003701417939737439,0.0037359772250056267
59,5,4,0.003701417939737439,0.0037359772250056267
60,5,5,0.003701417939737439,0.0037359772250056267
61,5,6,0.005286934785544872,0.005221548955887556
62,5,7,0.003141143126413226,0.0023916359059512615
63,5,8,0.003561926307156682,0.003495423821732402
64,5,9,0.0035191380884498358,0.0036518187262117863
65,5,10,0.0035213930532336235,0.003606363432481885
66,6,0,0.003701417939737439,0.0037359772250056267
67,6,1,0.003701417939737439,0.0037359772250056267
68,6,2,0.003701417939737439,0.0037359772250056267
69,6,3,0.003701417939737439,0.0037359772250056267
70,6,4,0.003701417939737439,0.0037359772250056267
71,6,5,0.003701417939737439,0.0037359772250056267
72,6,6,0.0052073197439312935,0.004603951703757048
73,6,7,0.0037118203472346067,0.0032746861688792706
74,6,8,0.0035685813054442406,0.0035104823764413595
75,6,9,0.0034931404516100883,0.0036087038461118937
76,6,10,0.0036079767160117626,0.0036747297272086143
77,7,0,0.003701417939737439,0.0037359772250056267
78,7,1,0.003701417939737439,0.0037359772250056267
79,7,2,0.003701417939737439,0.0037359772250056267
80,7,3,0.003701417939737439,0.0037359772250056267
81,7,4,0.003701417939737439,0.0037359772250056267
82,7,5,0.003701417939737439,0.0037359772250056267
83,7,6,0.004602123983204365,0.003652371931821108
84,7,7,0.0032691077794879675,0.002944831270724535
85,7,8,0.00358741101808846,0.003538612276315689
86,7,9,0.003474184311926365,0.003614236367866397
87,7,10,0.003492651740089059,0.003543826984241605
88,8,0,0.003701417939737439,0.0037359772250056267
89,8,1,0.003701417939737439,0.0037359772250056267
90,8,2,0.003701417939737439,0.0037359772250056267
91,8,3,0.003701417939737439,0.0037359772250056267
92,8,4,0.003701417939737439,0.0037359772250056267
93,8,5,0.003701417939737439,0.0037359772250056267
94,8,6,0.004480290692299604,0.003909279126673937
95,8,7,0.002805979223921895,0.0018179763574153185
96,8,8,0.003651626640930772,0.0036363257095217705
97,8,9,0.003593548433855176,0.003695339197292924
98,8,10,0.003557562595233321,0.003630297025665641
99,9,0,0.003701417939737439,0.0037359772250056267
100,9,1,0.003701417939737439,0.0037359772250056267
101,9,2,0.003701417939737439,0.0037359772250056267
102,9,3,0.003701417939737439,0.0037359772250056267
103,9,4,0.003701417939737439,0.0037359772250056267
104,9,5,0.003701417939737439,0.0037359772250056267
105,9,6,0.005444831680506468,0.004260020796209574
106,9,7,0.004378775134682655,0.0031786859035491943
107,9,8,0.003753902856260538,0.0035865965764969587
108,9,9,0.003539608558639884,0.0036593133118003607
109,9,10,0.003576403483748436,0.0035787473898380995
110,10,0,0.003701417939737439,0.0037359772250056267
111,10,1,0.003701417939737439,0.0037359772250056267
112,10,2,0.003701417939737439,0.0037359772250056267
113,10,3,0.003701417939737439,0.0037359772250056267
114,10,4,0.003701417939737439,0.0037359772250056267
115,10,5,0.003701417939737439,0.0037359772250056267
116,10,6,0.004642724059522152,0.004099919460713863
117,10,7,0.0030890842899680138,0.002450962783768773
118,10,8,0.0037125188391655684,0.0034952836576849222
119,10,9,0.003418455133214593,0.00354507053270936
120,10,10,0.003636470530182123,0.003740163054317236
121,11,0,0.003701417939737439,0.0037359772250056267
122,11,1,0.003701417939737439,0.0037359772250056267
123,11,2,0.003701417939737439,0.0037359772250056267
124,11,3,0.003701417939737439,0.0037359772250056267
125,11,4,0.003701417939737439,0.0037359772250056267
126,11,5,0.003701417939737439,0.0037359772250056267
127,11,6,0.004517843946814537,0.004194859880954027
128,11,7,0.003277413547039032,0.0024349712766706944
129,11,8,0.0037619469221681356,0.003521642880514264
130,11,9,0.003634792985394597,0.0037102121859788895
131,11,10,0.003734470810741186,0.0038148912135511637
132,12,0,0.003701417939737439,0.0037359772250056267
133,12,1,0.003701417939737439,0.0037359772250056267
134,12,2,0.003701417939737439,0.0037359772250056267
135,12,3,0.003701417939737439,0.0037359772250056267
136,12,4,0.003701417939737439,0.0037359772250056267
137,12,5,0.003701417939737439,0.0037359772250056267
138,12,6,0.004764052573591471,0.004689868073910475
139,12,7,0.002926612738519907,0.0023824286181479692
140,12,8,0.0036007657181471586,0.0034044496715068817
141,12,9,0.0037997288163751364,0.003835077863186598
142,12,10,0.003718794323503971,0.0037861980963498354
143,13,0,0.003701417939737439,0.0037359772250056267
144,13,1,0.003701417939737439,0.0037359772250056267
145,13,2,0.003701417939737439,0.0037359772250056267
146,13,3,0.003701417939737439,0.0037359772250056267
147,13,4,0.003701417939737439,0.0037359772250056267
148,13,5,0.003701417939737439,0.0037359772250056267
149,13,6,0.0046170358546078205,0.004170005209743977
150,13,7,0.003083393909037113,0.0023267664946615696
151,13,8,0.0033527386840432882,0.003271607682108879
