,layer,pos,yes_prob,no_prob
58,5,3,0.003701417939737439,0.0037359772250056267
59,5,4,0.003701417939737439,0.0037359772250056267
60,5,5,0.003701417939737439,0.0037359772250056267
61,5,6,0.005544288549572229,0.005342673510313034
62,5,7,0.0032229796051979065,0.0025582246016710997
63,5,8,0.0038357009179890156,0.0036886942107230425
64,5,9,0.0035088451113551855,0.003627869300544262
65,5,10,0.003445601323619485,0.0035188246984034777
66,6,0,0.003701417939737439,0.0037359772250056267
67,6,1,0.003701417939737439,0.0037359772250056267
68,6,2,0.003701417939737439,0.0037359772250056267
69,6,3,0.003701417939737439,0.0037359772250056267
70,6,4,0.003701417939737439,0.0037359772250056267
71,6,5,0.003701417939737439,0.0037359772250056267
72,6,6,0.0054809595458209515,0.005316141527146101
73,6,7,0.0031690760515630245,0.002518459688872099
74,6,8,0.0038177615497261286,0.0035853127483278513
75,6,9,0.003581034252420068,0.0037301303818821907
76,6,10,0.00348876416683197,0.0035781115293502808
77,7,0,0.003701417939737439,0.0037359772250056267
78,7,1,0.003701417939737439,0.0037359772250056267
79,7,2,0.003701417939737439,0.0037359772250056267
80,7,3,0.003701417939737439,0.0037359772250056267
81,7,4,0.003701417939737439,0.0037359772250056267
82,7,5,0.003701417939737439,0.0037359772250056267
83,7,6,0.005473340395838022,0.005275925155729055
84,7,7,0.0031002776231616735,0.0024852403439581394
85,7,8,0.0038984566926956177,0.003618841990828514
86,7,9,0.0035384967923164368,0.0036906299646943808
87,7,10,0.003483755514025688,0.003572501242160797
88,8,0,0.003701417939737439,0.0037359772250056267
89,8,1,0.003701417939737439,0.0037359772250056267
90,8,2,0.003701417939737439,0.0037359772250056267
91,8,3,0.003701417939737439,0.0037359772250056267
92,8,4,0.003701417939737439,0.0037359772250056267
93,8,5,0.003701417939737439,0.0037359772250056267
94,8,6,0.005618066526949406,0.005467211361974478
95,8,7,0.003092518774792552,0.0025710647460073233
96,8,8,0.0038943958934396505,0.0035846331156790257
97,8,9,0.0035501171369105577,0.0036623734049499035
98,8,10,0.0035155212972313166,0.0035909463185817003
99,9,0,0.003701417939737439,0.0037359772250056267
100,9,1,0.003701417939737439,0.0037359772250056267
101,9,2,0.003701417939737439,0.0037359772250056267
102,9,3,0.003701417939737439,0.0037359772250056267
103,9,4,0.003701417939737439,0.0037359772250056267
104,9,5,0.003701417939737439,0.0037359772250056267
105,9,6,0.005735686514526606,0.00580900302156806
106,9,7,0.003052063984796405,0.002518214751034975
107,9,8,0.003920392598956823,0.003513471921905875
108,9,9,0.003555484116077423,0.003695990424603224
109,9,10,0.0035270703956484795,0.0035362415947020054
110,10,0,0.003701417939737439,0.0037359772250056267
111,10,1,0.003701417939737439,0.0037359772250056267
112,10,2,0.003701417939737439,0.0037359772250056267
113,10,3,0.003701417939737439,0.0037359772250056267
114,10,4,0.003701417939737439,0.0037359772250056267
115,10,5,0.003701417939737439,0.0037359772250056267
116,10,6,0.005764229688793421,0.005831778980791569
117,10,7,0.0030956720001995564,0.0026073353365063667
118,10,8,0.00389269320294261,0.0034835869446396828
119,10,9,0.003566224593669176,0.0037039059679955244
120,10,10,0.003539240686222911,0.00352150434628129
121,11,0,0.003701417939737439,0.0037359772250056267
122,11,1,0.003701417939737439,0.0037359772250056267
123,11,2,0.003701417939737439,0.0037359772250056267
124,11,3,0.003701417939737439,0.0037359772250056267
125,11,4,0.003701417939737439,0.0037359772250056267
126,11,5,0.003701417939737439,0.0037359772250056267
127,11,6,0.005686821881681681,0.005699580535292625
128,11,7,0.0032300313469022512,0.002752212807536125
129,11,8,0.0038509578444063663,0.0034593946766108274
130,11,9,0.0036216359585523605,0.0037480266764760017
131,11,10,0.003525870619341731,0.0035024548415094614
132,12,0,0.003701417939737439,0.0037359772250056267
133,12,1,0.003701417939737439,0.0037359772250056267
134,12,2,0.003701417939737439,0.0037359772250056267
135,12,3,0.003701417939737439,0.0037359772250056267
136,12,4,0.003701417939737439,0.0037359772250056267
137,12,5,0.003701417939737439,0.0037359772250056267
138,12,6,0.005658319219946861,0.005647307727485895
139,12,7,0.0030386594589799643,0.002585361246019602
140,12,8,0.0037377134431153536,0.003230961272493005
141,12,9,0.0036080924328416586,0.003734252415597439
142,12,10,0.003537178738042712,0.0035190111957490444
143,13,0,0.003701417939737439,0.0037359772250056267
144,13,1,0.003701417939737439,0.0037359772250056267
145,13,2,0.003701417939737439,0.0037359772250056267
146,13,3,0.003701417939737439,0.0037359772250056267
147,13,4,0.003701417939737439,0.0037359772250056267
148,13,5,0.003701417939737439,0.0037359772250056267
149,13,6,0.005719167646020651,0.005661534145474434
150,13,7,0.0033527917694300413,0.002889300463721156
151,13,8,0.003643929725512862,0.0030798132065683603
