,layer,pos,prob
63,7,7,1.5788828022778034e-09
64,8,0,2.240994945168495e-09
65,8,1,4.452886059880257e-09
66,8,2,1.6298145055770874e-09
67,8,3,3.5157427191734314e-08
68,8,4,1.7389538697898388e-09
69,8,5,3.474269760772586e-10
70,8,6,1.3023964129388332e-09
71,8,7,1.5788828022778034e-09
72,9,0,2.240994945168495e-09
73,9,1,4.976755008101463e-09
74,9,2,3.3905962482094765e-09
75,9,3,2.4010660126805305e-09
76,9,4,1.469743438065052e-09
77,9,5,4.092726157978177e-10
78,9,6,1.0622898116707802e-09
79,9,7,1.5861587598919868e-09
80,10,0,2.240994945168495e-09
81,10,1,4.16184775531292e-09
82,10,2,2.459273673593998e-09
83,10,3,3.2887328416109085e-09
84,10,4,1.5279510989785194e-09
85,10,5,4.420144250616431e-10
86,10,6,1.2660166248679161e-09
87,10,7,1.178705133497715e-09
88,11,0,2.240994945168495e-09
89,11,1,4.220055416226387e-09
90,11,2,2.4010660126805305e-09
91,11,3,6.664777174592018e-09
92,11,4,1.724401954561472e-09
93,11,5,3.765308065339923e-10
94,11,6,9.167706593871117e-10
95,11,7,8.039933163672686e-10
96,12,0,2.240994945168495e-09
97,12,1,2.6338966563344e-09
98,12,2,2.837623469531536e-09
99,12,3,2.3865140974521637e-09
100,12,4,4.802132025361061e-10
101,12,5,4.874891601502895e-10
102,12,6,1.3096723705530167e-09
103,12,7,1.1932570487260818e-09
104,13,0,2.240994945168495e-09
105,13,1,1.7971615307033062e-09
106,13,2,3.754394128918648e-09
107,13,3,2.3865140974521637e-09
108,13,4,2.051820047199726e-09
109,13,5,6.293703336268663e-10
110,13,6,1.2369127944111824e-09
111,13,7,1.280568540096283e-09
112,14,0,2.240994945168495e-09
113,14,1,2.5320332497358322e-09
114,14,2,2.4301698431372643e-09
115,14,3,3.2159732654690742e-09
116,14,4,3.3032847568392754e-09
117,14,5,9.38598532229662e-10
118,14,6,1.673470251262188e-09
119,14,7,6.83940015733242e-10
120,15,0,2.240994945168495e-09
121,15,1,2.1100277081131935e-09
122,15,2,2.86672729998827e-09
123,15,3,1.9354047253727913e-09
124,15,4,3.3178366720676422e-09
125,15,5,8.294591680169106e-10
126,15,6,1.7171259969472885e-09
127,15,7,8.985807653516531e-10
128,16,0,2.240994945168495e-09
129,16,1,2.4301698431372643e-09
130,16,2,2.3137545213103294e-09
131,16,3,2.5029294192790985e-09
132,16,4,3.4779077395796776e-09
133,16,5,1.1641532182693481e-09
134,16,6,1.979060471057892e-09
135,16,7,1.1714291758835316e-09
