,layer,pos,prob
137,17,1,2.066371962428093e-09
138,17,2,2.1391315385699272e-09
139,17,3,2.954038791358471e-09
140,17,4,2.0954757928848267e-09
141,17,5,4.889443516731262e-09
142,17,6,2.6047928258776665e-09
143,17,7,3.8708094507455826e-09
144,18,0,2.240994945168495e-09
145,18,1,2.1100277081131935e-09
146,18,2,2.5756889954209328e-09
147,18,3,2.08092387765646e-09
148,18,4,2.051820047199726e-09
149,18,5,2.8812792152166367e-09
150,18,6,2.342858351767063e-09
151,18,7,4.3655745685100555e-09
152,19,0,2.240994945168495e-09
153,19,1,1.877197064459324e-09
154,19,2,2.051820047199726e-09
155,19,3,2.764863893389702e-09
156,19,4,2.255546860396862e-09
157,19,5,2.7066562324762344e-09
158,19,6,2.371962182223797e-09
159,19,7,4.71482053399086e-09
160,20,0,2.240994945168495e-09
161,20,1,2.0954757928848267e-09
162,20,2,2.8230715543031693e-09
163,20,3,1.964508555829525e-09
164,20,4,1.7971615307033062e-09
165,20,5,1.862645149230957e-09
166,20,6,1.760781742632389e-09
167,20,7,7.799826562404633e-09
168,21,0,2.240994945168495e-09
169,21,1,2.1827872842550278e-09
170,21,2,2.5029294192790985e-09
171,21,3,2.35741026699543e-09
172,21,4,1.7826096154749393e-09
173,21,5,1.7898855730891228e-09
174,21,6,1.7025740817189217e-09
175,21,7,1.076841726899147e-08
176,22,0,2.240994945168495e-09
177,22,1,2.8085196390748024e-09
178,22,2,2.2264430299401283e-09
179,22,3,2.342858351767063e-09
180,22,4,1.7680577002465725e-09
181,22,5,2.561137080192566e-09
182,22,6,1.6880221664905548e-09
183,22,7,6.984919309616089e-09
184,23,0,2.240994945168495e-09
185,23,1,1.8917489796876907e-09
186,23,2,2.168235369026661e-09
187,23,3,2.4010660126805305e-09
188,23,4,1.7971615307033062e-09
189,23,5,2.6338966563344e-09
190,23,6,2.066371962428093e-09
191,23,7,7.246853783726692e-09
192,24,0,2.240994945168495e-09
193,24,1,2.2264430299401283e-09
194,24,2,2.2992026060819626e-09
195,24,3,2.3137545213103294e-09
196,24,4,2.764863893389702e-09
197,24,5,1.862645149230957e-09
198,24,6,2.342858351767063e-09
199,24,7,1.0128132998943329e-08
200,25,0,2.240994945168495e-09
201,25,1,2.1827872842550278e-09
202,25,2,2.240994945168495e-09
203,25,3,1.6079866327345371e-09
204,25,4,1.9936123862862587e-09
205,25,5,2.2264430299401283e-09
206,25,6,1.7898855730891228e-09
207,25,7,6.51925802230835e-09
